,花旗,台新,國泰,富邦,玉山,中信
2017-06-01,4,4,1,3,2,6
2017-06-02,6,4,5,3,5,8
2017-06-03,6,4,7,4,7,10
2017-06-04,10,4,7,4,8,13
2017-06-05,12,6,9,6,9,13
2017-06-06,18,6,10,7,12,16
2017-06-07,24,10,15,8,17,24
2017-06-08,29,13,15,8,18,30
2017-06-09,33,15,16,8,20,30
2017-06-10,37,19,17,10,23,33
2017-06-11,36,17,16,9,23,29
2017-06-12,34,21,12,10,22,31
2017-06-13,38,25,10,9,25,34
2017-06-14,40,27,10,10,24,34
2017-06-15,43,34,11,11,24,38
2017-06-16,41,37,11,12,23,39
2017-06-17,41,37,6,11,19,31
2017-06-18,40,36,6,12,20,28
2017-06-19,37,39,6,13,21,29
2017-06-20,34,39,5,11,18,27
2017-06-21,32,40,5,10,17,27
2017-06-22,35,43,6,11,17,26
2017-06-23,38,42,8,13,12,22
2017-06-24,38,42,8,12,14,21
2017-06-25,34,34,5,9,13,18
2017-06-26,31,33,4,7,13,14
2017-06-27,27,31,7,8,13,16
2017-06-28,25,35,7,7,13,16
2017-06-29,26,34,8,8,12,19
2017-06-30,28,31,9,8,17,21
2017-07-01,27,32,10,8,18,20
2017-07-02,28,25,12,7,16,17
2017-07-03,23,23,10,5,16,20
2017-07-04,18,22,10,5,14,19
2017-07-05,18,24,11,5,15,19
2017-07-06,19,24,11,7,15,20
2017-07-07,17,24,8,6,15,21
2017-07-08,15,19,9,6,14,18
2017-07-09,15,16,8,5,16,15
2017-07-10,12,15,9,6,13,13
2017-07-11,15,13,9,6,12,12
2017-07-12,14,15,7,6,15,15
2017-07-13,14,16,7,7,17,12
2017-07-14,14,16,7,8,20,12
2017-07-15,16,15,8,9,19,13
2017-07-16,15,13,9,8,17,12
2017-07-17,16,15,9,11,18,13
2017-07-18,16,17,10,12,19,17
2017-07-19,18,18,10,12,16,18
2017-07-20,20,23,8,11,16,18
2017-07-21,19,22,8,11,16,23
2017-07-22,17,22,8,10,13,20
2017-07-23,16,22,10,9,11,20
2017-07-24,16,25,12,8,9,19
2017-07-25,14,26,10,8,9,18
2017-07-26,15,31,12,9,11,20
2017-07-27,17,31,12,9,10,18
2017-07-28,22,37,10,8,9,15
2017-07-29,20,37,10,7,8,15
2017-07-30,20,32,11,8,6,17
2017-07-31,19,34,11,8,7,13
2017-08-01,18,36,11,10,10,14
2017-08-02,19,40,9,10,11,13
2017-08-03,21,43,7,13,11,16
2017-08-04,20,41,7,12,13,16
2017-08-05,19,36,4,10,11,15
2017-08-06,18,35,6,8,12,13
2017-08-07,14,28,6,8,13,12
2017-08-08,12,28,5,8,13,13
2017-08-09,10,31,4,8,14,11
2017-08-10,9,29,3,7,13,11
2017-08-11,12,30,3,6,12,13
2017-08-12,13,26,3,7,12,13
2017-08-13,10,20,4,5,12,11
2017-08-14,14,22,5,6,11,10
2017-08-15,15,24,5,6,12,9
2017-08-16,14,24,5,6,13,11
2017-08-17,18,26,7,6,13,13
2017-08-18,21,27,10,8,15,13
2017-08-19,22,26,11,7,14,14
2017-08-20,23,25,12,7,13,17
2017-08-21,23,22,12,7,13,14
2017-08-22,21,21,12,6,13,14
2017-08-23,23,24,11,6,13,16
