,花旗,台新,國泰,富邦,玉山,中信
2017-06-01,4,4,1,3,2,6
2017-06-02,2,0,4,0,3,2
2017-06-03,0,0,2,1,2,2
2017-06-04,4,0,0,0,1,3
2017-06-05,2,2,2,2,1,0
2017-06-06,6,0,1,1,3,3
2017-06-07,6,4,5,1,5,8
2017-06-08,5,3,0,0,1,6
2017-06-09,4,2,1,0,2,0
2017-06-10,4,4,1,2,3,3
2017-06-11,3,2,0,2,2,2
2017-06-12,0,4,0,1,2,4
2017-06-13,4,4,0,0,5,5
2017-06-14,6,2,0,1,0,3
2017-06-15,5,9,3,3,1,4
2017-06-16,4,3,1,2,2,4
2017-06-17,6,4,0,0,1,0
2017-06-18,4,2,0,1,2,3
2017-06-19,1,5,1,1,3,1
2017-06-20,1,4,0,0,0,1
2017-06-21,1,3,0,1,1,2
2017-06-22,3,7,1,2,2,3
2017-06-23,7,3,2,2,0,1
2017-06-24,6,2,0,0,2,2
2017-06-25,1,1,0,0,0,1
2017-06-26,1,2,0,0,2,0
2017-06-27,2,2,3,1,1,2
2017-06-28,2,6,0,0,2,3
2017-06-29,2,4,2,2,2,4
2017-06-30,3,1,1,0,5,3
2017-07-01,0,4,1,1,2,1
2017-07-02,4,0,3,1,0,0
2017-07-03,2,1,0,0,0,4
2017-07-04,1,1,0,0,0,1
2017-07-05,1,3,1,0,1,1
2017-07-06,2,2,0,2,2,1
2017-07-07,0,2,0,0,1,3
2017-07-08,0,1,1,0,1,0
2017-07-09,2,1,1,1,4,1
2017-07-10,0,0,2,1,2,1
2017-07-11,3,2,1,1,1,0
2017-07-12,3,2,1,1,3,3
2017-07-13,2,2,0,1,2,1
2017-07-14,1,1,0,1,3,1
2017-07-15,3,2,2,1,0,2
2017-07-16,1,0,1,1,0,0
2017-07-17,1,4,0,3,2,4
2017-07-18,0,3,2,1,2,4
2017-07-19,4,2,1,1,1,2
2017-07-20,2,5,0,0,2,1
2017-07-21,2,1,1,1,1,5
2017-07-22,1,2,1,0,0,0
2017-07-23,1,2,2,0,0,1
2017-07-24,1,4,2,0,1,0
2017-07-25,1,3,0,1,0,1
2017-07-26,2,5,3,2,2,2
2017-07-27,3,4,0,3,1,2
2017-07-28,5,9,0,0,1,1
2017-07-29,2,2,1,0,0,2
2017-07-30,2,0,1,1,0,3
2017-07-31,1,3,1,1,2,1
2017-08-01,0,4,1,2,3,1
2017-08-02,2,6,0,0,1,0
2017-08-03,3,7,0,3,1,3
2017-08-04,0,1,0,0,2,1
2017-08-05,1,0,0,0,0,1
2017-08-06,2,3,2,1,2,0
2017-08-07,1,2,0,0,2,0
2017-08-08,0,2,0,0,0,3
2017-08-09,0,3,0,1,1,1
2017-08-10,0,1,0,0,1,1
2017-08-11,3,5,1,1,2,3
2017-08-12,3,2,0,1,1,0
2017-08-13,0,1,1,1,1,1
2017-08-14,4,3,1,1,1,0
2017-08-15,2,2,0,0,1,0
2017-08-16,1,3,2,1,3,2
2017-08-17,5,4,2,0,2,2
2017-08-18,3,3,3,2,2,3
2017-08-19,1,2,1,0,0,2
2017-08-20,1,0,1,0,0,4
2017-08-21,3,2,1,1,2,0
2017-08-22,1,1,0,0,1,0
2017-08-23,2,4,0,1,1,3
2017-08-24,3,3,0,1,1,1
2017-08-25,2,1,1,0,0,1
2017-08-26,2,2,2,1,1,0
2017-08-27,0,2,0,0,2,1
2017-08-28,1,4,0,0,0,2
2017-08-29,2,7,1,1,1,2
2017-08-30,1,0,0,1,1,3
2017-08-31,2,4,2,1,2,0
2017-09-01,3,4,2,1,2,2
2017-09-02,4,1,1,0,2,1
2017-09-03,3,0,0,0,1,0
2017-09-04,1,2,0,0,2,2
2017-09-05,3,3,1,0,2,0
2017-09-06,4,3,2,1,4,2
2017-09-07,3,3,2,1,2,3
2017-09-08,6,0,3,0,1,0
2017-09-09,0,1,0,1,0,1
2017-09-10,0,0,1,0,0,1
2017-09-11,1,0,0,0,0,0
2017-09-12,0,2,0,2,1,1
2017-09-13,3,3,0,0,1,1
2017-09-14,1,0,0,0,0,1
2017-09-15,3,4,0,1,0,4
2017-09-16,1,3,0,0,0,2
2017-09-17,0,0,0,0,0,2
2017-09-18,2,4,0,0,0,3
2017-09-19,7,5,0,1,1,2
2017-09-20,1,0,1,0,1,2
2017-09-21,4,1,2,0,2,1
2017-09-22,4,3,1,2,2,2
2017-09-23,1,4,2,2,3,5
2017-09-24,0,1,0,0,0,0
2017-09-25,1,0,2,0,1,0
2017-09-26,0,2,1,0,0,0
2017-09-27,1,1,0,0,0,3
2017-09-28,4,6,0,0,0,2
2017-09-29,3,6,0,1,0,3
2017-09-30,2,2,0,0,2,2
2017-10-01,1,1,0,1,1,1
2017-10-02,2,2,4,1,1,2
2017-10-03,1,2,2,0,1,1
2017-10-04,2,0,1,0,0,3
2017-10-05,1,1,1,0,0,3
