,花旗,台新,國泰,富邦,玉山,中信
2017-06-01,55,50,6,19,26,56
2017-06-02,75,50,31,19,67,76
2017-06-03,75,50,52,28,84,111
2017-06-04,103,50,52,28,88,146
2017-06-05,131,78,70,44,110,146
2017-06-06,287,78,78,46,187,194
2017-06-07,331,148,105,51,215,255
2017-06-08,383,188,105,51,218,313
2017-06-09,426,209,118,51,231,313
2017-06-10,466,347,122,62,279,345
2017-06-11,508,321,116,60,276,304
2017-06-12,488,418,91,102,249,339
2017-06-13,551,469,70,93,310,369
2017-06-14,550,497,70,104,306,364
2017-06-15,553,573,81,96,304,398
2017-06-16,414,648,100,101,246,406
2017-06-17,414,650,73,96,236,345
2017-06-18,401,644,73,105,246,324
2017-06-19,364,691,66,109,276,330
2017-06-20,325,589,62,98,228,334
2017-06-21,230,617,62,112,218,328
2017-06-22,268,576,64,78,214,295
2017-06-23,292,560,76,85,136,243
2017-06-24,333,622,76,74,153,233
2017-06-25,309,522,47,66,133,206
2017-06-26,299,489,20,59,179,150
2017-06-27,293,475,38,77,169,169
2017-06-28,267,530,38,68,170,184
2017-06-29,279,531,53,71,134,265
2017-06-30,306,523,76,71,239,303
2017-07-01,304,558,83,47,286,310
2017-07-02,312,502,114,41,276,288
2017-07-03,236,480,102,34,276,343
2017-07-04,173,395,102,34,259,326
2017-07-05,174,424,108,34,265,325
2017-07-06,173,398,108,49,228,335
2017-07-07,135,486,90,31,242,346
2017-07-08,122,472,95,31,250,294
2017-07-09,141,410,83,36,321,219
2017-07-10,113,382,76,46,273,153
2017-07-11,140,316,77,45,234,137
2017-07-12,110,379,55,54,282,178
2017-07-13,117,378,55,73,300,129
2017-07-14,113,406,55,82,349,164
2017-07-15,139,461,84,91,343,190
2017-07-16,140,445,90,78,315,180
2017-07-17,154,333,90,106,314,235
2017-07-18,154,283,96,115,302,293
2017-07-19,150,295,89,109,247,303
2017-07-20,174,412,73,99,195,300
2017-07-21,195,393,79,95,174,350
2017-07-22,190,416,78,84,126,309
2017-07-23,196,498,157,65,108,360
2017-07-24,201,567,182,56,82,322
2017-07-25,187,511,147,56,82,310
2017-07-26,198,629,230,78,88,345
2017-07-27,228,615,230,60,71,276
2017-07-28,294,728,219,51,69,230
2017-07-29,276,728,222,45,46,214
2017-07-30,272,611,226,52,41,237
2017-07-31,238,667,223,87,52,196
2017-08-01,227,632,223,97,91,196
2017-08-02,228,744,144,97,95,126
2017-08-03,280,883,119,104,105,133
2017-08-04,260,872,119,95,138,121
2017-08-05,252,754,30,71,132,105
2017-08-06,250,759,42,70,149,89
2017-08-07,199,645,42,70,169,77
2017-08-08,184,694,37,70,169,92
2017-08-09,164,730,33,65,179,70
2017-08-10,150,685,22,28,171,89
2017-08-11,157,666,13,18,149,106
2017-08-12,157,476,13,28,151,106
2017-08-13,99,278,31,44,130,107
2017-08-14,133,277,38,51,104,99
2017-08-15,140,313,38,51,131,80
2017-08-16,100,327,32,54,121,94
2017-08-17,145,324,58,54,112,110
2017-08-18,182,313,67,67,127,108
2017-08-19,192,317,87,65,117,120
2017-08-20,198,304,95,65,114,126
2017-08-21,234,305,100,79,132,109
2017-08-22,220,306,100,69,142,109
2017-08-23,234,279,82,49,152,116
2017-08-24,217,352,75,45,152,119
2017-08-25,217,322,82,45,125,126
2017-08-26,220,291,88,37,124,112
2017-08-27,160,313,62,37,137,99
2017-08-28,129,281,53,24,122,93
2017-08-29,130,370,53,31,125,85
2017-08-30,150,370,45,37,133,112
2017-08-31,126,368,59,27,130,112
2017-09-01,139,374,92,31,159,115
2017-09-02,166,363,114,28,149,116
2017-09-03,187,270,114,25,178,113
2017-09-04,175,310,107,25,202,121
2017-09-05,202,337,104,21,207,121
2017-09-06,235,309,114,26,213,127
2017-09-07,262,318,125,46,222,133
2017-09-08,280,189,149,39,235,123
2017-09-09,254,227,149,49,227,73
2017-09-10,235,196,135,45,195,74
2017-09-11,223,173,102,41,150,71
2017-09-12,182,195,80,57,154,61
2017-09-13,150,244,80,57,128,71
2017-09-14,153,198,80,57,104,83
2017-09-15,140,219,71,76,89,118
2017-09-16,112,221,61,71,51,120
2017-09-17,79,187,50,51,42,131
2017-09-18,75,287,6,51,26,190
2017-09-19,132,282,6,37,30,195
2017-09-20,147,282,23,37,35,203
2017-09-21,158,288,54,37,42,210
2017-09-22,189,285,56,31,32,221
2017-09-23,231,352,107,83,77,295
2017-09-24,223,355,107,83,77,268
2017-09-25,210,299,119,64,83,233
2017-09-26,205,303,126,64,83,222
2017-09-27,225,311,126,64,83,206
2017-09-28,243,269,126,64,83,178
2017-09-29,210,273,126,71,79,208
2017-09-30,205,291,103,71,114,210
2017-10-01,190,295,72,98,131,212
2017-10-02,176,280,128,91,170,203
2017-10-03,134,419,100,39,133,122
2017-10-04,224,416,109,39,133,131
2017-10-05,249,432,127,39,127,223
2017-10-06,262,428,141,39,136,225
2017-10-07,242,431,141,39,136,235
2017-10-08,211,384,141,39,136,204
2017-10-09,187,347,141,30,136,185
2017-10-10,181,364,141,45,111,180
2017-10-11,175,354,247,18,87,192
2017-10-12,199,420,234,15,42,184
2017-10-13,221,215,221,15,24,194
2017-10-14,144,278,216,17,24,201
2017-10-15,123,288,186,17,73,134
2017-10-16,154,293,165,17,64,173
