,花旗,台新,國泰,富邦,玉山,中信
2017-06-01,55.0,50.0,6.0,19.0,26.0,56.0
2017-06-02,20.0,,25.0,,41.0,20.0
2017-06-03,,,21.0,9.0,17.0,35.0
2017-06-04,28.0,,,,4.0,35.0
2017-06-05,28.0,28.0,18.0,16.0,22.0,
2017-06-06,156.0,,8.0,2.0,77.0,48.0
2017-06-07,44.0,70.0,27.0,5.0,28.0,61.0
2017-06-08,52.0,40.0,,,3.0,58.0
2017-06-09,43.0,21.0,13.0,,13.0,
2017-06-10,40.0,138.0,4.0,11.0,48.0,32.0
2017-06-11,97.0,24.0,,17.0,23.0,15.0
2017-06-12,,97.0,,42.0,14.0,55.0
2017-06-13,63.0,51.0,,,78.0,65.0
2017-06-14,27.0,28.0,,11.0,,30.0
2017-06-15,31.0,104.0,29.0,8.0,20.0,34.0
2017-06-16,17.0,75.0,27.0,7.0,19.0,56.0
2017-06-17,44.0,72.0,,,18.0,
2017-06-18,39.0,34.0,,9.0,13.0,37.0
2017-06-19,6.0,68.0,6.0,4.0,43.0,6.0
2017-06-20,1.0,36.0,,,,36.0
2017-06-21,2.0,52.0,,31.0,13.0,9.0
2017-06-22,38.0,56.0,2.0,8.0,10.0,22.0
2017-06-23,87.0,35.0,12.0,7.0,,13.0
2017-06-24,68.0,90.0,,,17.0,20.0
2017-06-25,7.0,4.0,,,,7.0
2017-06-26,7.0,42.0,,,65.0,
2017-06-27,38.0,58.0,18.0,18.0,8.0,19.0
2017-06-28,13.0,89.0,,,14.0,52.0
2017-06-29,18.0,69.0,21.0,7.0,7.0,87.0
2017-06-30,28.0,28.0,23.0,,105.0,74.0
2017-07-01,,87.0,7.0,7.0,60.0,16.0
2017-07-02,46.0,,33.0,2.0,,
2017-07-03,11.0,13.0,,,,68.0
2017-07-04,5.0,5.0,,,,3.0
2017-07-05,8.0,33.0,6.0,,6.0,6.0
2017-07-06,6.0,16.0,,15.0,28.0,10.0
2017-07-07,,146.0,,,22.0,30.0
2017-07-08,,75.0,5.0,,22.0,
2017-07-09,37.0,7.0,9.0,12.0,78.0,12.0
2017-07-10,,,16.0,10.0,57.0,8.0
2017-07-11,27.0,21.0,8.0,6.0,21.0,
2017-07-12,16.0,63.0,11.0,11.0,48.0,41.0
2017-07-13,18.0,12.0,,19.0,18.0,19.0
2017-07-14,1.0,33.0,,9.0,49.0,38.0
2017-07-15,34.0,88.0,35.0,9.0,,32.0
2017-07-16,7.0,,6.0,2.0,,
2017-07-17,14.0,34.0,,28.0,21.0,85.0
2017-07-18,,25.0,11.0,9.0,10.0,58.0
2017-07-19,33.0,19.0,2.0,6.0,23.0,22.0
2017-07-20,24.0,117.0,,,5.0,5.0
2017-07-21,48.0,2.0,14.0,2.0,0.0,50.0
2017-07-22,11.0,86.0,10.0,,,
2017-07-23,24.0,94.0,79.0,,,70.0
2017-07-24,6.0,102.0,25.0,,23.0,
2017-07-25,20.0,32.0,,9.0,,20.0
2017-07-26,18.0,118.0,89.0,24.0,6.0,35.0
2017-07-27,44.0,20.0,,10.0,4.0,16.0
2017-07-28,66.0,138.0,,,8.0,12.0
2017-07-29,15.0,19.0,5.0,,,6.0
2017-07-30,20.0,,4.0,7.0,,28.0
2017-07-31,14.0,58.0,11.0,37.0,11.0,9.0
2017-08-01,,51.0,10.0,10.0,39.0,0.0
2017-08-02,25.0,206.0,,,4.0,
2017-08-03,58.0,241.0,,7.0,33.0,7.0
2017-08-04,,21.0,,,33.0,8.0
2017-08-05,10.0,,,,,19.0
2017-08-06,42.0,25.0,12.0,9.0,21.0,
2017-08-07,15.0,24.0,,,28.0,
2017-08-08,,68.0,,,,21.0
2017-08-09,,36.0,,2.0,10.0,6.0
2017-08-10,,13.0,,,3.0,28.0
