,花旗,台新,國泰,富邦,玉山,中信
2017-06-01,42,32,6,19,30,47
2017-06-02,60,32,26,19,67,63
2017-06-03,60,32,41,26,84,84
2017-06-04,74,32,41,26,87,107
2017-06-05,96,53,59,31,104,107
2017-06-06,216,53,66,32,172,150
2017-06-07,242,96,83,34,196,190
2017-06-08,275,129,83,34,199,240
2017-06-09,301,134,83,34,212,240
2017-06-10,332,250,85,42,251,269
2017-06-11,358,234,79,34,242,231
2017-06-12,340,288,59,75,217,254
2017-06-13,394,332,44,68,267,296
2017-06-14,397,349,44,75,264,299
2017-06-15,405,395,40,80,262,329
2017-06-16,298,466,62,85,210,307
2017-06-17,305,482,45,83,207,267
2017-06-18,299,477,45,94,219,248
2017-06-19,279,523,49,95,243,252
2017-06-20,248,427,47,87,204,246
2017-06-21,182,451,47,108,190,243
2017-06-22,218,441,48,74,186,223
2017-06-23,235,425,56,81,119,171
2017-06-24,262,481,56,74,134,158
2017-06-25,238,416,42,64,119,133
2017-06-26,230,375,13,58,157,112
2017-06-27,223,366,29,73,136,118
2017-06-28,208,400,29,62,133,128
2017-06-29,211,394,41,67,102,194
2017-06-30,231,391,60,67,180,233
2017-07-01,229,429,67,40,225,239
2017-07-02,220,385,87,33,217,220
2017-07-03,155,362,79,26,217,262
2017-07-04,114,292,79,26,202,251
2017-07-05,114,317,84,26,207,249
2017-07-06,109,297,84,37,174,257
2017-07-07,83,347,68,22,193,272
2017-07-08,71,354,72,22,197,231
2017-07-09,90,314,62,25,258,170
2017-07-10,70,297,56,36,233,108
2017-07-11,100,244,55,33,199,96
2017-07-12,86,302,44,43,243,133
2017-07-13,96,303,44,61,261,81
2017-07-14,94,322,44,66,291,108
2017-07-15,108,376,68,72,286,131
2017-07-16,114,366,71,62,265,123
2017-07-17,123,291,71,82,261,147
2017-07-18,123,249,77,89,253,187
2017-07-19,125,259,73,87,203,197
2017-07-20,142,368,60,76,156,199
2017-07-21,153,345,63,76,138,239
2017-07-22,148,352,56,66,94,202
2017-07-23,150,424,120,48,76,260
2017-07-24,154,468,120,43,46,231
2017-07-25,150,416,91,42,46,221
2017-07-26,156,517,162,62,51,245
2017-07-27,173,510,162,50,40,211
2017-07-28,225,600,152,43,38,179
2017-07-29,207,606,153,36,21,163
2017-07-30,200,497,157,43,15,185
2017-07-31,170,538,155,73,24,150
2017-08-01,162,511,159,81,52,150
2017-08-02,164,626,95,81,54,91
2017-08-03,201,758,95,86,77,94
2017-08-04,185,749,95,81,106,81
2017-08-05,179,648,21,60,101,65
2017-08-06,184,643,30,57,112,54
2017-08-07,146,538,30,57,126,46
2017-08-08,134,581,27,57,126,59
2017-08-09,124,597,23,51,134,40
