,花旗,台新,國泰,富邦,玉山,中信
2017-06-01,42.0,32.0,6.0,19.0,30.0,47.0
2017-06-02,18.0,,20.0,,37.0,16.0
2017-06-03,,,15.0,7.0,17.0,21.0
2017-06-04,14.0,,,,3.0,23.0
2017-06-05,22.0,21.0,18.0,5.0,17.0,
2017-06-06,120.0,,7.0,1.0,68.0,43.0
2017-06-07,26.0,43.0,17.0,2.0,24.0,40.0
2017-06-08,33.0,33.0,,,3.0,50.0
2017-06-09,26.0,5.0,0.0,,13.0,
2017-06-10,31.0,116.0,2.0,8.0,39.0,29.0
2017-06-11,68.0,16.0,,11.0,21.0,9.0
2017-06-12,,54.0,,41.0,12.0,39.0
2017-06-13,54.0,44.0,,,67.0,63.0
2017-06-14,17.0,17.0,,7.0,,26.0
2017-06-15,30.0,67.0,14.0,10.0,15.0,30.0
2017-06-16,13.0,71.0,29.0,6.0,16.0,21.0
2017-06-17,33.0,59.0,,,21.0,
2017-06-18,27.0,28.0,,11.0,15.0,31.0
2017-06-19,6.0,51.0,4.0,1.0,37.0,4.0
2017-06-20,0.0,20.0,,,,23.0
2017-06-21,2.0,40.0,,32.0,7.0,6.0
2017-06-22,36.0,44.0,1.0,7.0,8.0,19.0
2017-06-23,71.0,28.0,8.0,7.0,,11.0
2017-06-24,44.0,73.0,,,15.0,13.0
2017-06-25,6.0,2.0,,,,5.0
2017-06-26,5.0,30.0,,,54.0,
2017-06-27,26.0,50.0,16.0,15.0,0.0,6.0
2017-06-28,12.0,62.0,,,12.0,41.0
2017-06-29,9.0,45.0,16.0,6.0,6.0,70.0
2017-06-30,20.0,17.0,19.0,,78.0,62.0
2017-07-01,,78.0,7.0,5.0,52.0,12.0
2017-07-02,27.0,,21.0,0.0,,
2017-07-03,6.0,5.0,,,,53.0
2017-07-04,3.0,3.0,,,,2.0
2017-07-05,6.0,27.0,5.0,,5.0,3.0
2017-07-06,0.0,10.0,,11.0,21.0,8.0
2017-07-07,,100.0,,,19.0,21.0
2017-07-08,,69.0,4.0,,16.0,
2017-07-09,28.0,5.0,6.0,9.0,67.0,9.0
2017-07-10,,,13.0,11.0,53.0,0.0
2017-07-11,30.0,25.0,6.0,2.0,18.0,
2017-07-12,13.0,58.0,10.0,10.0,44.0,37.0
2017-07-13,16.0,6.0,,18.0,18.0,1.0
2017-07-14,1.0,22.0,,5.0,30.0,29.0
2017-07-15,20.0,81.0,29.0,6.0,,26.0
2017-07-16,6.0,,3.0,1.0,,
2017-07-17,9.0,25.0,,20.0,15.0,45.0
2017-07-18,,27.0,10.0,7.0,8.0,40.0
2017-07-19,30.0,15.0,2.0,7.0,17.0,19.0
2017-07-20,17.0,109.0,,,6.0,2.0
2017-07-21,41.0,2.0,9.0,2.0,0.0,40.0
2017-07-22,8.0,65.0,3.0,,,
2017-07-23,18.0,78.0,64.0,,,59.0
2017-07-24,5.0,66.0,0.0,,0.0,
2017-07-25,16.0,29.0,,5.0,,16.0
2017-07-26,12.0,101.0,74.0,21.0,5.0,24.0
2017-07-27,26.0,18.0,,8.0,4.0,11.0
2017-07-28,52.0,117.0,,,6.0,8.0
2017-07-29,12.0,21.0,3.0,,,3.0
2017-07-30,10.0,,4.0,7.0,,24.0
2017-07-31,11.0,43.0,7.0,32.0,9.0,5.0
2017-08-01,,38.0,7.0,8.0,28.0,0.0
2017-08-02,20.0,193.0,,,2.0,
2017-08-03,42.0,198.0,,5.0,23.0,3.0
2017-08-04,,20.0,,,29.0,3.0
2017-08-05,6.0,,,,,8.0
2017-08-06,31.0,13.0,9.0,5.0,15.0,
2017-08-07,14.0,12.0,,,20.0,
2017-08-08,,64.0,,,,16.0
2017-08-09,,16.0,,1.0,8.0,5.0
2017-08-10,,9.0,,,0.0,15.0
2017-08-11,6.0,20.0,1.0,0.0,12.0,12.0
2017-08-12,16.0,11.0,,8.0,3.0,
2017-08-13,,49.0,7.0,17.0,8.0,7.0
2017-08-14,28.0,17.0,3.0,3.0,3.0,
2017-08-15,9.0,36.0,,,23.0,
2017-08-16,0.0,30.0,5.0,9.0,7.0,9.0
2017-08-17,56.0,17.0,16.0,,13.0,10.0
2017-08-18,31.0,51.0,7.0,13.0,7.0,14.0
2017-08-19,6.0,25.0,15.0,,,14.0
2017-08-20,3.0,,4.0,,,29.0
2017-08-21,38.0,26.0,5.0,9.0,24.0,
2017-08-22,10.0,9.0,,,12.0,
2017-08-23,11.0,13.0,,2.0,15.0,11.0
2017-08-24,11.0,80.0,,2.0,4.0,4.0
2017-08-25,16.0,5.0,5.0,,,7.0
2017-08-26,5.0,5.0,7.0,3.0,9.0,
2017-08-27,,43.0,,,25.0,1.0
2017-08-28,3.0,23.0,,,,7.0
2017-08-29,7.0,101.0,18.0,4.0,1.0,7.0
