,Unnamed: 0,Unnamed: 0.1,titl,link,push,auth,date,text,reply,date_new,predict_tag,final_push
17,17,8679,[問題] 說謊不是學生身份會被查到嗎？,/bbs/creditcard/M.1496295220.A.8E1.html,17,qazsx2349, 6/01,"


小弟想初辦信用卡

差三個月畢業

不想用學生身份  都沒首刷禮那些

請問 說我待業在學校打工上班(研究助理)

去年扣繳憑單大約230K 存款大約250K

信用卡公司調的到我的學生身份嗎？

或是辦卡以後被發現 會不會有甚麼責任？

謝謝

-----
Sent from JPTT on my Samsung SM-G950F.

--
",26,2017-06-01,0.6629015898234452,17
35,35,8697,[閒聊] 年年刷破百萬  是都買甚麼東西 ?,/bbs/creditcard/M.1496329479.A.B67.html,11,whoamiqq, 6/01,"

信用卡版神人一堆

常常會看到有人提到自己刷了上百萬所以賺到頂級卡免年費、里程等等

想請問除了真的是高消費族群的富貴人家之外，大家是都買什麼東西呀 ?

代購?   幫公司墊款?   保費?


--
",35,2017-06-01,0.4954481002078837,11
39,39,8701,[問題] 悠遊聯名卡換卡？,/bbs/creditcard/M.1496337729.A.D93.html,3,SCDAN, 6/02,"

請問一下

悠遊聯名卡換卡後
（不換卡號，只是膠膜脫落，重做新卡而已）

這樣原本那張膠膜脫落卡片的悠遊卡功能還能用嗎？

謝謝

--
",7,2017-06-02,-0.05962503573806464,3
41,41,8703,[問題] 悠遊.iCash.一卡通自動加值怎麼用到歸零,/bbs/creditcard/M.1496372022.A.A70.html,20,right520, 6/02,"

悠遊.iCash.一卡通這三種聯名卡已經設定自動加值了
要怎麼將裡面的餘額用到0還不會自動加值呢?
因為太多張都有餘額感覺很困擾
目前想集中一張用
另外這三種卡片歸零的方式都一樣嗎?
~

--
",23,2017-06-02,0.17314360821484928,20
43,43,8705,[問題] 持卡人死亡 卡債問題,/bbs/creditcard/M.1496376881.A.AC7.html,33,haw04022, 6/02,"

請問一下 我媽媽上個月往生 當他的名下 還有欠一筆
卡債 銀行也聯絡過我 問我要不要幫媽媽
用分期的方式把它還清 當我每個月真的沒有多餘的錢去繳分期了
銀行說如果不還就只能讓法院處理 但我也沒辦法 所以就說只能這樣了
請問已辦好拋棄繼承 是不是銀行那邊沒辦法對我提告呢?
我是媽媽往生沒多久 就去申辦拋棄繼承了
也查過了 媽媽這張卡是她個人的 跟我的卡不是正副卡
請問我後續要怎麼除理?

--
",36,2017-06-02,0.13470402483390054,33
46,46,8708,Re: [問題] 悠遊聯名卡換卡？,/bbs/creditcard/M.1496380297.A.C8A.html,3,A1101166, 6/02,"





關於重新製卡後，信用卡主卡號不變，但銀行會在有效期與背面三碼作異動處理居多

所以感覺不變，實際上有變

至於悠遊卡，受限於它們沒有辦法同卡號再製

(以避免加值、以及離線交易的被破解與被複製與唯一性)

所以每一張的悠遊卡卡號""永遠不會相同""


又因為悠遊卡號只能連結一個主信用卡卡號作為自動加值的請款帳戶

(反之亦然：主信用卡卡號也只能連結一張有效的悠遊卡號)

所以若信用卡某卡號先前已連結某悠遊卡號時

但現在要換卡，勢必悠遊卡號會動到

待新的悠遊卡加入此信用卡作為連結前後

銀行就必須把先前的舊悠遊卡終止並餘額轉置

所以舊的悠遊卡早晚都會失效(餘額轉置+整張悠遊功能也會完整作廢)

當銀行處理舊卡終止，餘額轉置的第一道指令下下去時，你的舊卡就不能用了

至於時間有多久，就是你舊卡還能不能使用悠遊功能

就看各銀行先發製新卡再轉置舊卡(或先轉置舊卡再製新卡)的處理進度了


--
你說你想要找個寬厚的肩膀　問自己帶你到甚麼地方

            我說我想要找個避風的港灣　謝謝你　陪我到任何地方

                                    你的寬容　還有我溫柔的包容　


--
",2,2017-06-02,0.06512013472565202,3
49,49,8711,[閒聊] Master 刷卡驗證,/bbs/creditcard/M.1496385765.A.C6D.html,1,yarck, 6/02,"

人在國外，手機不通，之前有詢問過元大刷卡簡訊驗證是否可以改固定密碼，或同時送 email
元大回應目前沒有提供這項功能，所以只要在國外需要網路刷卡時都用別張，
昨天在網路上買車票時，手賤的又拿元大來刷，到了 master card 驗證畫面時當然按下取消，
然後..............我就收到車票了  @@ 過幾秒也收到了元大的刷卡通知信

所以這個驗證功能只是擺好看的嗎 =.=

--
",4,2017-06-02,0.4285366129559354,1
60,60,8722,[情報] 玉山銀行APP更新 <iOS>,/bbs/creditcard/M.1496409376.A.3CD.html,27,dcat, 6/02,"


剛剛iPhone更新後

終於可以Touch ID 或是 簡易密碼登入 了

不用每次登入都要輸入身分證字號跟帳密 QQ


另外畫面看起來也精緻不少 ^^

--
",30,2017-06-02,0.5245081876147083,27
75,75,8737,[問題] apply pay 加值 西瓜卡,/bbs/creditcard/M.1496472828.A.6F7.html,2,atlaskuma, 6/03,"

請問用apply pay 加值 西瓜卡 會遇到什麼問題嗎？
我本來想用聯邦來加值西瓜卡，交易紀錄上也有，但是西瓜卡app上的餘額還是沒有增加
耶...請問有人有遇到一樣的問題嗎？謝謝

--
",10,2017-06-03,0.2488308331524991,2
80,80,8742,[問題] pchome 24hr線上購物請款日是?,/bbs/creditcard/M.1496482082.A.4A1.html,7,saurik, 6/03,"

我的匯豐卡是6號結帳日
假如我等一下在pchome 24hr刷卡買，
會有機會算在下個月帳單上嗎?
因為不想讓這筆帳算在這期6號結算的帳單上啊....

--
",13,2017-06-03,0.1985903455245048,7
89,89,8751,[問題] 中信Linepay卡，刷卡後的Line通知提醒,/bbs/creditcard/M.1496555214.A.B47.html,8,Take2Bank, 6/04,"

如題，使用中信Linepay卡刷卡後，Line帳號通常都會跳出一個消費提醒。

我每次刷卡都有跳出提醒，何時、刷了多少錢，唯獨只有昨天在Pizza hut沒有跳出提醒
，請問有人遇到這樣過嗎？

這邊指的是刷Linepay實體卡，並非使用行動支付Linepay條碼方式。

謝謝

--
",15,2017-06-04,0.6392436251298149,8
90,90,8752,Re: [閒聊] 花旗新戶首刷禮入帳 （1888）,/bbs/creditcard/M.1496559191.A.053.html,0,sinyi1004, 6/04,"

線上刷卡算嗎？

--
",9,2017-06-04,0.1508801383801384,0
96,96,8758,[閒聊] 加油站跟影城的信用卡業務送件資料,/bbs/creditcard/M.1496585462.A.75A.html,2,jim85459, 6/04,"

為什麼自己辦的信用卡都要附一堆資料

去給加油站跟影城的業務辦理信用卡，只要簽名跟給身分證就好了餒？@@

--
",6,2017-06-04,0.5151150092400092,2
100,100,8762,[公告] 水桶名單 nanahate,/bbs/creditcard/M.1496627477.A.669.html,0,MoonAthenaX, 6/05,"

 第一條 輕度犯規  處理：砍文 / 警告1次 / 視情節劣文

     3. 未爬文：發文前請先參考「官網」、「精華區」與「板上之文章」。(註1)

nanahate
二度違反板規
2012/08/18 板規1-3
2017/05/28 板規1-3
已累計2次警告 水桶兩週

                   板工 MoonAthenaX


--
",0,2017-06-05,0.3752274414232238,0
101,101,8763,[問題] 信用卡訂雜誌，取消續訂問題,/bbs/creditcard/M.1496637939.A.427.html,0,miken203, 6/05,"

先前刷卡訂了國外雜誌，快到期了。

因雜誌有自動續訂機制會直接以留存信用卡付續期費用。

因打到國外有點麻煩

如果我把信用卡剪了，廠商扣不到款，自動取消續訂，請問還會有其他後遺症嗎？

--
",14,2017-06-05,-0.09616973387289406,0
110,110,8772,[情報] 樂天分眾 699折100元,/bbs/creditcard/M.1496666068.A.D7C.html,11,justin0405, 6/05,"


大概三個月沒用樂天信用卡了，今天mail收到
滿699-100序號，這其實不錯用
上面寫2000名額，大家看看有沒有收到唷！
因為有期限注意唷~





--
",12,2017-06-05,0.6819068356299931,11
111,111,8773,[問題] 如何確定信用卡是不是被消磁？,/bbs/creditcard/M.1496666509.A.58A.html,12,marinee, 6/05,"

我有一張信用＋金融兩者合一的卡

前陣子去買東西

結帳時店員把我的信用卡放在店家消磁商品用的「板子」上

不知道這樣信用卡磁條會不會受影響？

很多地方刷卡都只使用到晶片 無法測試看看功能是否正常

因為之後會到國外領錢

很擔心磁條壞了到時無法使用

請問有什麼辦法可以測試看看？

或是去ATM可以利用什麼功能來檢查嗎？

謝謝！

--
",17,2017-06-05,0.1036043910036323,12
