titl,push,tag,text,date
[閒聊] 台新@gogo有夠黑led燈會閃爍,14,0,"

原因是這樣子的

之前有幸申請到@gogo icash led限量版

他的燈亮方式是恆亮

而最近收到的有夠黑悠遊聯名卡第一張是閃爍亮

而且閃到後面乾脆不亮了

換發第二張也是一樣的情況 但是好點

背面右上角批號都是YFP29110117

不知道其他人的有夠黑燈亮方式是如何

到底是不是瑕疵批號

--

icash是靠近設備後會恆亮哈

悠遊卡是靠近設備會閃爍亮
",10月16日
[問題] 美國AE卡 有無購物網站可分期,7,0,"


昨天在逛三創，結果去換抽獎券的時候，被小姐問說，要不要辦一張美國運通卡，結果我想說身為小白的我就答應了！可是我還特地問小姐美國運通可以拿來刷YAHOO購物中心的分期嗎？小姐卻回答可以！後來今天我網路上查了才知道，台灣購物網站好像都不支持美國運通卡有無息分期的活動，這樣我該打給小姐說不辦了嗎？還是如果有辦下來，我可以用這張卡來養信用，畢竟現在是小白，請各位大大幫忙回答了！謝謝，感恩不盡^^

P. S.手機用JPTT發言，排版見諒

-----
Sent from JPTT on my Xiaomi Redmi Note 4.

--
", 8/12
Re: [心得] 關於最近的美國運通阿....,16,-4,"

看到這篇文章忍不住上來抱怨一下

今年5月擁有的小白要續卡前打了電話

與客服談了一下心

客服表示續約可有1萬點數

那時本想續卡但6月12日時預定8月某間飯店

電話跟飯店客服接洽時也確認有房間

官網訂房也有房間

但在我說明要使用運通信用白後

客服表示飯店跟配合信用白的房間已滿

當下就致電運通客服怒剪卡片

並將點數兌換了商品（約5000多點）

小魯奈米戶

那時客服表示三週內商品會寄達

時間如流水般流逝

直到7月19日商品尚無送來

又打了電話查詢

那時客服表示6月份時專員忘記幫我兌換商品

會在請其他專員跟我聯繫

7月20日專員回電表示

因之前兌換商品6月已下架

希望可兌換其他商品

當下我拒絕

7月21日客服又來電表示已協調廠商出貨

惟須給廠商備貨時間商品會稍晚寄出

但至今已過了3週多

商品還是沒收到

運通效率真的是有夠龜速



手機排版請見諒


--
", 8/14
[問題] 玉山JCB晶緻悠遊卡 無法自動加值,17,-2,"

如標題

已開卡，線上刷過學雜費

信用額度非常足夠，在7-11和萊爾富都無法完成首次自動加值

是否需要額外做開啟此功能？先前只有試過iCash自動加值

麻煩各位了，剛剛也有上玉山官網用智能客服找問題

但找不出個所以然，麻煩了！

--

所以要操作超商的機器手動開啟對嗎@@

感謝

...... 實在懶得打電話

我是信用卡餒

開卡很久了～

學到了 感謝

人在新竹 只能去超商操作機器開啟了對吧

感謝！

感謝各位，已解決！
",10月3日
Re: [問題] 關於亞洲萬里行暢遊哩程生活圈,4,-3,"

借用一下標題!

請問大家參加這個活動賺取的里數已經入帳了嗎？

雖說規則是活動結束6～8週會存入亞萬帳戶，但也拖太久了吧！

--
", 9/01
[心得] 亞洲萬里通暢遊里程生活圈,51,2,"

5000里程數GET!
四個領域依照版友建議在采采食茶買8點過後蛋糕買一送一($160)，剛好出差訂國泰機票($0)，國泰信用卡固定轉里程($0)，在crate and barrel買酒瓶塞($5-60)

今天看亞萬帳戶已經進帳了，大家快去確認

手機排版傷眼見諒

--
", 9/22
"[情報] AE信用白限時推薦,裡上加禮",10,1,"

美國運通卡會員登入網站,每推薦一人成功新申辦AE信用白並繳年費,推薦人及

被推薦人可分別獲得刷卡金1500元

推薦網址


活動期間:2017/9/28-2017/11/30


--
",10月19日
[新聞] 個人信用報告、信用評分 明年起可用手機查,5,0,"


標題：
        個人信用報告、信用評分 明年起可用手機查
內文：

　　數位金融年代，統統都要快，查詢個人信用也一樣。聯徵
中心已規劃，將自明、2018年1月1日起，開放民眾透過「手機
」就可直接查詢個人信用報告和信用評分。

　　聯徵中心表示，今年起，就已開放「線上」查閱個人信用
報告和加查信用評分作業，但目前「線上」查閱個人信用報告
，須透過「自然人憑證」，不過，自然人憑證是「晶片卡」，
無法透過「手機載具」線上查閱。

　　聯徵中心表示，為讓民眾查閱個人信用更快速且更有效率
，已決定和「台網」合作，明年起，透過台網開發的TWID（金
融軟體憑證），就能查閱個人信用報告。

　　台網的TWID，已開放民眾申請，主要用在證券業的開戶、
下單作多，目前申請量已達百萬張。聯徵中心表示，已有TWID
憑證者，在台網做完認證程序後，2018年1月起，就能透過該
憑證，查詢自己在聯徵中心的個人信用報告和信用評分。聯徵
中心是自95年推出「個人信用評分資訊」產品，評分人口數近
千萬人，每年查詢量高達200萬筆。


來源：
2017-09-11 13:32 聯合報 記者孫中英╱即時報導



--



--
", 9/11
[閒聊] 信用卡機場停車,1,3,"

小弟這次用昇恒無限，無惱停免費
很讚
在路上聽到司機大哥說
銀行信用卡是計次跟嘟嘟房算錢的
1天或30天都是175，看來也不是很傷

--
", 8/05
[問題] 薪資證明,10,0,"

本身在家裡公司幫忙
小公司有登記公司行號
但沒有勞健保
固定每個月家人匯錢給我
我想問的是
這樣可以當薪資證明嗎?

我朋友說不可能
他說不然如果我有100萬存款
分三個月匯33萬給自己別的戶頭
不就能製造月入33萬的假證明了..





--
", 9/16
